id,productType,productTypeKey,name.en,categories,slug.en,_hasStagedChanges,_published,key,createdAt,lastModifiedAt,variantId,sku,images,new image name,prices,articleNumberMax,baseId,images ID,new image name
883f39ca-ea65-4723-a3dc-db8090d252d9,main,main,Wawa Whole Pint Milk,Milk,wawa-whole-pint-milk,FALSE,TRUE,56ac8851-f29b-5a93-8ea3-8e93917a7e81,2021-01-17T21:34:42.772Z,2021-01-17T21:37:18.249Z,1,56ac8851-f29b-5a93-8ea3-8e93917a7e81,https://i8.amplience.net/s/willow/000132||0x0,000132,US-USD 139,132,132,8b487912-7614-5de8-a76a-2c14c8574825,000132
411eabce-ddc4-4324-9a37-efdeb593132a,main,main,Andy Capp Fries Hot 3 Oz,"Chips, Popcorn, & Pretzels",andy-capp-fries-hot-3-oz,FALSE,TRUE,97e0837e-2fe9-546b-be78-d5e8fc8cf615,2021-01-17T21:34:43.053Z,2021-01-17T21:37:26.131Z,1,97e0837e-2fe9-546b-be78-d5e8fc8cf615,https://i8.amplience.net/s/willow/000187||0x0,000187,US-USD 129,187,187,c9136e40-b77d-5e28-b41d-55f504f18e78,000187
a7546c9e-8db0-4228-9a36-753b8c20ea28,main,main,Tuna Salad - Cold Hoagies & Sandwiches,Hoagies & Sandwiches,tuna-salad-cold-hoagies-sandwiches,FALSE,TRUE,e5a854ae-f136-5147-83ea-d9784e5f6d45,2021-01-17T21:32:25.284Z,2021-01-17T21:36:27.843Z,1,e5a854ae-f136-5147-83ea-d9784e5f6d45,https://i8.amplience.net/s/willow/000003||0x0,000003,US-USD 369,3,3,ee0067f9-118b-5f03-939c-b0644ba7c810,000003
e3b58d92-e432-4628-a13e-9204de3ae658,main,main,Nature Valley Hny Oat Bar 1.5 oz,Nutritional & Granola Bars,nature-valley-hny-oat-bar-1-5-oz,FALSE,TRUE,534dd886-67e3-5eaf-b6cb-d6eb5808ffd8,2021-01-17T21:34:43.239Z,2021-01-17T21:37:06.767Z,1,534dd886-67e3-5eaf-b6cb-d6eb5808ffd8,https://i8.amplience.net/s/willow/000234||0x0,000234,US-USD 129,234,234,a6451eef-f73c-525d-973d-ef69ab84ae90,000234
1e9c0025-032b-4029-8645-17cd16e34b63,main,main,Essity Tissue 4 rolls,"Grocery, Health & Beauty, Ice",essity-tissue-4-rolls,FALSE,TRUE,f5da7331-e6ed-52fe-8350-bba176e52e79,2021-01-17T21:34:43.367Z,2021-01-17T21:36:42.255Z,1,f5da7331-e6ed-52fe-8350-bba176e52e79,https://i8.amplience.net/s/willow/000256||0x0,000256,US-USD 249,256,256,ba286ff8-ab5c-5259-b2b3-881b6466eb15,000256
af24c891-3881-4b29-8947-6d0d04c123d8,main,main,Cookies & Cream Flurricane - Flurricanes,Milkshakes & Flurricanes,cookies-cream-flurricane-flurricanes,FALSE,TRUE,e3e1d9c6-187f-5ae0-86b1-c3935f8121e1,2021-01-17T21:34:43.157Z,2021-01-17T21:37:26.139Z,1,e3e1d9c6-187f-5ae0-86b1-c3935f8121e1,https://i8.amplience.net/s/willow/000095||0x0,000095,US-USD 409,95,95,546c8ff4-be90-5d67-bda4-1e989aa6d62f,000095
fc1bf51a-a0e6-4b29-a77a-6582256a87e6,main,main,Ent Chocolate Chip Cookies 12 oz,Cookies & Crackers,ent-chocolate-chip-cookies-12-oz,FALSE,TRUE,b5e22e79-8d2c-5b53-a320-16b0289b844d,2021-01-17T21:34:43.300Z,2021-01-17T21:36:42.374Z,1,b5e22e79-8d2c-5b53-a320-16b0289b844d,https://i8.amplience.net/s/willow/000216||0x0,000216,US-USD 438,216,216,ba286ff8-ab5c-5259-b2b3-881b6466eb15,000216
60e4d737-9fdc-402b-8208-c059a079ec33,main,main,Diet Pepsi - 20oz,Soda,diet-pepsi-20-oz,FALSE,TRUE,57e2de9d-07ef-5844-b60a-560bb57d6be5,2021-01-17T21:34:42.823Z,2021-01-17T21:37:18.257Z,1,57e2de9d-07ef-5844-b60a-560bb57d6be5,https://i8.amplience.net/s/willow/000140||0x0,000140,US-USD 209,140,140,3b937536-b32a-50eb-bdd7-f04c93187384,000140
994c51bd-d19e-4a2b-b570-fd7fa36ea075,main,main,Frito Lay Salt & Vngr Lays Chips 2.625 oz,"Chips, Popcorn, & Pretzels",frito-lay-salt-vngr-lays-chips-2-625-oz,FALSE,TRUE,0d172768-2498-5017-a1fa-482cced32a00,2021-01-17T21:34:43.255Z,2021-01-17T21:36:42.374Z,1,0d172768-2498-5017-a1fa-482cced32a00,https://i8.amplience.net/s/willow/000201||0x0,000201,US-USD 189,201,201,d002ec50-3110-59be-a685-a7c006a1e5b5,000201
aa30da28-3f2b-492c-bcaa-095767e46c89,main,main,Blistex Regular .15oz,"Grocery, Health & Beauty, Ice",blistex-regular-15-oz,FALSE,TRUE,191561ea-d201-55c1-b8c9-c594d2d65a6c,2021-01-17T21:34:43.403Z,2021-01-17T21:36:42.306Z,1,191561ea-d201-55c1-b8c9-c594d2d65a6c,https://i8.amplience.net/s/willow/000265||0x0,000265,US-USD 199,265,265,1a824194-7880-535a-97f8-9717550e7ec5,000265
